id,type,award,ptype
P1422,Journal,Best Paper,Journal
P1873,Journal,Best Paper,Journal
P1040,Journal,Best Paper,Journal
P1072,Journal,Best Paper,Journal
P1121,Journal,Best Paper,Journal
P1220,Journal,Best Paper,Journal
P1317,Journal,Honorable Mention,Journal
P1561,Journal,Honorable Mention,Journal
P1631,Journal,Honorable Mention,Journal
P1307,Journal,Honorable Mention,Journal
P1727,Journal,Honorable Mention,Journal
P2043,Journal,Honorable Mention,Journal
P2113,Journal,Honorable Mention,Journal
P1016,Journal,Honorable Mention,Journal
P1126,Journal,Honorable Mention,Journal
P1232,Journal,Honorable Mention,Journal
P2112,Journal,Honorable Mention,Journal
1098,DC,Best DC,
PO1060,Demo,Honorable Mention,
PO1015,Demo,Best Demo,
P1298,Poster,Honorable Mention,Wednesday
P1288,Poster,Honorable Mention,Wednesday
P1215,Poster,Honorable Mention,Tuesday
P1060,Poster,Honorable Mention,Monday
P1301,Poster,Honorable Mention,Wednesday
P1094,Poster,Honorable Mention,Monday
P1107,Poster,Best Poster,Tuesday
P1106,Poster,Best Poster,Monday
P1041,Poster,Best Poster,Monday
P1121,Poster,Best Poster,Monday
P1305,Poster,Best Poster,Wednesday
P1141,Poster,Best Poster,Tuesday
1010,3DUI Contest,Best 3DUI
1002,3DUI Contest,Honorable Mention
P1654,Presentation,Honorable Mention,Journal
P1482,Presentation,Honorable Mention,Journal
P1153,Presentation,Honorable Mention,Conference
P1669,Presentation,Honorable Mention,Conference
P3014,Presentation,Best Presentation,Invited Journal
P1769,Presentation,Best Presentation,Journal
