id,type,title,day,starttime,endtime,timezone,discordurl,stream,location,stream-url,aindanaoaconteceu
1.1,PaperSession,Collaboration,"Tuesday, March 30",08:30,09:30,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/825745847366451220,Stream1,Auditorium A,https://youtu.be/zT1-4IDbFr8?t=4100,
1.2,PaperSession,Multimodal Interfaces,"Tuesday, March 30",08:30,09:30,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/825745888109527050,Stream2,Auditorium B,https://youtu.be/ob7y6ms48fc?t=4147,
1.3,PaperSession,Accessible VR,"Wednesday, March 31",08:30,09:30,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/825746204645261343,Stream1,Auditorium A,https://youtu.be/Ds-h1J4MFMI?t=4495,
1.4,PaperSession,Haptics,"Wednesday, March 31",08:30,09:30,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/825746265789694021,Stream2,Auditorium B,https://youtu.be/ktb20KDP8Xs?t=4475,
1.5,PaperSession,Locomotion,"Thursday, April 1",08:30,09:30,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/825746490651574302,Stream1,Auditorium A,https://youtu.be/ijfvmKMLpQg?t=3597,
1.6,PaperSession,Rendering and Texture Mapping,"Thursday, April 1",08:30,09:30,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/825746537501032448,Stream2,Auditorium B,https://youtu.be/ekxFESRAt5c?t=3733,
2.1,PaperSession,Security and Drone Teleoperation,"Tuesday, March 30",11:00,12:00,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/825745938915786762,Stream1,Auditorium A,https://youtu.be/zT1-4IDbFr8?t=13075,
2.2,PaperSession,Embedded and Surround Videos,"Tuesday, March 30",11:00,12:00,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/825745991889453056,Stream2,Auditorium B,https://youtu.be/ob7y6ms48fc?t=13061,
3.1,PaperSession,Augmented Reality,"Monday, March 29",12:00,13:00,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/825744740246880307,Stream1,Auditorium A,https://youtu.be/Ag3LRcqxpo4?t=1805,
3.2,PaperSession,VR/AR Displays,"Monday, March 29",12:00,13:00,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/825744882605621278,Stream2,Auditorium B,https://youtu.be/vU1ooD8uu3A?t=1778,
3.3,PaperSession,"Tracking, Vision and Sound","Thursday, April 1",12:00,13:00,Lisbon WEST UTC+1,discord.com/channels/785628120471699507/825746592992591902,Stream1,Auditorium A,https://youtu.be/ijfvmKMLpQg?t=16222,
