id,session,type,title,discord-channel,url-ieeevr-explore
1708,1,Conference,Lightweight Scene-aware Rain Sound Simulation for Interactive Virtual Environments, ,
1667,1,Conference,Providing 3D Guidance and Improving the Music-Listening Experience in Virtual Reality Shooting Games Using Musical Vibrotactile Feedback, ,
1425,1,Journal,ConeSpeech: Exploring Directional Speech Interaction for Multi-Person Remote Communication in Virtual Reality, ,
1937,1,Journal,The Design Space of the Auditory Representation of Objects and their Behaviours in Virtual Reality for Blind People, ,
1761,1,Journal,Emotional Voice Puppetry, ,
1373,2,Conference,Comparing Visual Attention with Leading and Following Virtual Agents in a Collaborative Perception-Action Task in VR, ,
1452,2,Conference,Towards an Understanding of Asymmetric Collaborative Visualization on Problem-solving, ,
1801,2,Conference,MAGIC: Manipulating Avatars and Gestures to Improve Remote Collaboration, ,
1206,2,Journal,Effects of Collaborative Training Using Virtual Co-embodiment on Motor Skill Learning, ,
1563,2,Journal,Using Virtual Replicas to Improve Mixed Reality Remote Collaboration, ,
1978,3,Conference,Tell Me Where To Go: Voice Controlled Hands-Free Locomotion for Virtual Reality Systems, ,
1805,3,Conference,Investigating Guardian Awareness Techniques to Promote Safety in Virtual Reality, ,
1951,3,Conference,Redirected Walking Based on Historical User Walking Data, ,
1076,3,Conference,Designing Viewpoint Transition Techniques in Multiscale Virtual Environments, ,
1039,3,Journal,Gaining the High Ground: Teleportation to Mid-Air Targets in Immersive Virtual Environments, ,
1297,4,Journal,FREE-RDW: A Multiuser Redirected Walking Method for Supporting Nonforward Steps, ,
1449,4,Journal,Assisted walking-in-place: Introducing assisted motion to walking-by-cycling in embodied Virtual Reality, ,
1109,4,Journal,Monte-Carlo Redirected Walking: Gain Selection Through Simulated Walks, ,
7,4,Invited Journal,A Systematic Literature Review of Virtual Reality Locomotion Taxonomies, ,
8,4,Invited Journal,"Revisiting Walking-in-Place by Introducing Step-Height Control, Elastic Input, and Pseudo-Haptic Feedback", ,
1407,5,Conference,Level-of-Detail AR: Dynamically Adjusting Augmented Reality Level of Detail Based on Visual Angle, ,
1901,5,Conference,Where to Render: Studying Renderability for IBR of Large-Scale Scenes, ,
1406,5,Conference,Delta Path Tracing for Real-Time Global Illumination in Mixed Reality, ,
1157,5,Conference,Style-aware Augmented Virtuality Embeddings (SAVE), ,
1265,5,Journal,LFACon: Introducing Anglewise Attentions to Light Field Space in No-reference Quality Assessment, ,
1037,6,Journal,ShadowMover: Automatically Projecting Real Shadows onto Virtual Object, ,
1014,6,Journal,Add-on Occlusion: Turning Off-the-Shelf Optical See-through Head-mounted Displays Occlusion-capable, ,
1022,6,Journal,NeRFPlayer: A Streamable Dynamic Scene Representation with Decomposed Neural Radiance Fields, ,
1519,6,Journal,Integrating Both Parallax and Latency Compensation into Video See-Through Head-Mounted Display, ,
1591,6,Journal,GeoSynth: A Photorealistic Synthetic Indoor Dataset for Scene Understanding, ,
1129,7,Conference,Simultaneous Scene-independent Camera Localization and Category-level Object Pose Estimation via Multi-level Feature Fusion, ,
1228,7,Conference,SCP-SLAM: Accelerating DynaSLAM with Static Confidence Propagation, ,
2020,7,Conference,AR-MoCap: Using Augmented Reality to Support Motion Capture Acting, ,
1804,7,Conference,Cross-View Visual Geo-Localization for Outdoor Augmented Reality, ,
1523,7,Journal,LiDAR-aid Inertial Poser: Large-scale Human Motion Capture by Sparse Inertial and LiDAR Sensors, ,
1982,8,Journal,Introducing 3D Thumbnails to Access 360-Degree Videos in Virtual Reality, ,
1874,8,Journal,Masked360: Enabling Robust 360-degree Video Streaming with Ultra Low Bandwidth Consumption, ,
1590,8,Journal,Wavelet-Based Fast Decoding of 360 Videos, ,
1344,8,Conference,CaV3: Cache-assisted Viewport Adaptive Volumetric Video Streaming, ,
1411,8,Conference,Scaling VR Video Conferencing, ,
1757,9,Conference,Exploring the Social Influence of Virtual Humans Unintentionally Conveying Conflicting Emotions, ,
1440,9,Conference,Studying Avatar Transitions in Augmented Reality: Effect of Visual Transformation and Physical Action, ,
1169,9,Conference,Animation Fidelity in Self-Avatars: Impact on User Performance and Sense of Agency, ,
2014,9,Conference,Fully Automatic Blendshapes Generation for Stylized Characters, ,
1480,9,Journal,PACE: Data-Driven Virtual Agent Interaction in Dense and Cluttered Environments, ,
1438,10,Conference,Using Smartphones as Assistive Displays to AR HMDs to Enhance the AR Reading Experience, ,
1155,10,Conference,Evoking empathy with visually impaired people through an augmented reality embodiment experience, ,
1390,10,Conference,Optimizing Product Placement for Virtual Stores, ,
2008,10,Journal,A survey on remote assistance and training in Mixed Reality environments, ,
1357,10,Journal,Evaluating the Effects of Virtual Reality Environment Learning on Subsequent Robot Teleoperation in an Unfamiliar Building, ,
1821,11,Conference,"You Make Me Sick! The Effect of Stairs on Presence, Cybersickness, and Perception of Embodied Conversational Agents", ,
1792,11,Conference,LiteVR: Interpretable and Lightweight Cybersickness Detection using Explainable AI, ,
1205,11,Conference,An EEG-based Experiment on VR Sickness and Postural Instability While Walking in Virtual Environments, ,
1777,11,Conference,Like a Rolling Stone: Effects of Space Deformation During Linear Acceleration on Slope Perception and Cybersickness, ,
1502,11,Conference,Enhanced Theta Activity in the Left Parietal Cortex May Defend Against VR Motion Sickness Attacks: A Pilot Study of EEG, ,
1213,12,Journal,"Cybersickness, Cognition, & Motor Skills: The Effects of Music, Gender, and Gaming Experience", ,
1122,12,Journal,"Effect of Frame Rate on User Experience, Performance, and Simulator Sickness in Virtual Reality", ,
4,12,Invited Journal,Intentional Head-Motion Assisted Locomotion for Reducing Cybersickness, ,
6,12,Invited Journal,Mitigation of VR Sickness during Locomotion with a Motion-Based Dynamic Vision Modulator, ,
9,12,Invited Journal,The Effects of Spatial Complexity on Narrative Experience in Space-Adaptive AR Storytelling, ,
1231,13,Conference,HoloBeam: Paper-Thin Near-Eye Displays, ,
1746,13,Conference,Extended Depth-of-Field Projector using Learned Diffractive Optics, ,
1243,13,Conference,Proposal for an aerial display using dynamic projection mapping on a distant flying screen, ,
1740,13,Conference,CompenHR: Efficient Full Compensation for High-resolution Projector, ,
