id,authors,title,abstract,url,location,booth
P1003,Chen Li: The Hong Kong Polytechnic University ; Yixin Dai: The Hong Kong Polytechnic University; Honglin Li: The Hong Kong Polytechnic University; Pui Yin Yip: The Hong Kong Polytechnic University,Remote art therapy in collaborative virtual environment: a pilot study on feasibility and usability,The uniqueness of the collaborative virtual environment (CVE) makes it a perfect medium for delivering art therapy sessions remotely during the global pandemic. This pilot study investigates the feasibility and usability of delivering remote art therapy in a customised CVE. Four young adults as clients and two registered expressive arts therapists participated in the study. The quantitative and qualitative results suggested that the CVE-enabled approach was feasible and the system's usability was high. The approach was well received by both the clients and the therapists. Possible improvements to the CVE were identified and will be addressed in our future work.,,Session/Server 1,1
P1006,Yu Han: Beijing Engineering Research Center of Mixed Reality and Advanced Display; Jie Hao: Beijing Institute of Technology; Yu Miao: Beijing Engineering Research Center of Mixed Reality and Advanced Display; Yue Liu: Beijing Institute of Technology,Exploring Influences of Design and Environmental Factors on Recognizing Teacher’s Facial Expressions in Educational VR,"Teachers’ facial expressions significantly influence students’ willingness to learn. However, insufficient resolution of current consumer head-mounted displays leads to difficulties in capturing nuances of virtual teachers in VR, which may be solved by scaling up the heads of virtual teachers. In this paper, we explore the effects of design and environmental factors on the ideal head scales for recognizing the virtual teacher’s facial expressions. Our results show that the facial visualization style and the distance from the user to the virtual teacher are important factors affecting facial expression recognition, which could contribute to the design and optimization of educational VR.",,Session/Server 1,2
P1007,"Bernardo Marques: Universidade de Aveiro; André Santos: University of Aveiro; Nuno Martins: IETA, University of Aveiro; Samuel Silva: Universidade de Aveiro; Paulo Dias: University of Aveiro; Beatriz Sousa Santos: University of Aveiro",Exploring Situated Instructions for Mixed Reality (MR) Remote Collaboration: Comparing Embedded and Non-Embedded Annotations,"Mixed Reality (MR) remote collaboration enable off-site experts to assist on-site collaborators needing guidance. Different visualizations have been proposed for sharing situated information, e.g., embedded, non-embedded, etc. However, the effectiveness of these visualizations have not been compared. This work describes a user study with 16 participants, aimed at comparing two conditions: C1) Embedded and C2) Non-Embedded annotations during a real-life remote maintenance. Two devices were used: Hand-Held Device (HHD) and Head-Mounted Display (HMD). This last using Embedded annotations was considered the better alternative, while HHD using Non-Embedded annotations were rated lower from all conditions.",,Session/Server 1,3
P1014,"yohei hanaoka: KDDI Research, Inc.; Kohei Matsuzaki: KDDI Research, Inc.; Satoshi Komorita: KDDI Research, Inc.",Coarse to Fine Recursive Image-based Localization on a 3D Mesh Map,"Image-based localization is appropriate for augmented/virtual reality (AR/VR) services due to its high accuracy. However, it generally needs dedicated 3D map generation, which is costly. Thus, some methods have tried to utilize 3D mesh maps instead. However, the significant visual difference between the query image of the camera to be localized and a 3D mesh map results in low accuracy. This paper proposes to improve accuracy by dynamically controlling the comparison threshold and selecting the best localization result in a recursive estimation process. The results show that it improves the accuracy by 15% compared to the baseline method.",,Session/Server 1,
P1025,Kai Wang: China Unicom; Shiguo Lian: China Unicom; Haiyan Sang: China Unicom; Wen Liu: China Unicom; Zhaoxiang Liu: China Unicom; Fuyuan Shi: China Unicom; Hui Deng: China Unicom; Zeming Sun: China Unicom; Zezhou Chen: China Unicom,Multimodal Activity Detection for Natural Interaction with Virtual Human,"Natural face-to-face human-robot conversation is one of the most important features for virtual human in virtual reality and metaverse. However, the unintended wake-up of robot is often activated with only Voice Activity Detection (VAD). To address this issue, we propose a Multimodal Activity Detection (MAD) scheme, which considers not only voice but also gaze, lip-movement and talking content to decide whether the person is activating the robot. A dataset for large screen-based virtual human conversation is collected from various challenging cases. The experimental results show that the proposed MAD greatly outperforms VAD-only method.",,Session/Server 1,4
P1028,Ruoxi Guo: University College London; Lisa Izzouzi: University College London; Anthony Steed: University College London,User Motion Accentuation in Social Pointing Scenario,"Few existing methods produce full-body user motion in Virtual Environments from only one consumer-level Head-Mounted-Display. This preliminary project generates full-body motions from the user’s hands and head positions through data-based motion accentuation. The method is evaluated in a simple collaborative scenario with one Pointer, represented by an avatar, pointing at targets while an Observer interprets the Pointer’s movements. The Pointer’s motion is modified by our motion accentuation algorithm SocialMoves. Comparisons on the Pointer’s motion are made between SocialMoves, the Final IK, and Ground Truth. Our method showed the same level of user experience as the Ground Truth method.",,Session/Server 1,5
P1029,Weiwei Jiang: Anhui Normal University; Difeng Yu: University of Melbourne; Andrew Irlitti: University of Melbourne; Jorge Goncalves: University of Melbourne; Vassilis Kostakos: University of Melbourne; Xin He: Anhui Normal University,Knock the Reality: Virtual Interface Registration in Mixed Reality,"We present Knock the Reality, an interaction technique for virtual interface registration in mixed reality (MR). When a user knocks on a physical object, our technique identifies the object based on a knocking sound and registers a customizable virtual interface onto the object. Unlike computer vision-based methods, our approach does not require continuously processing image information. Instead, we utilize audio features which are less computationally expensive. This work presents our implementation and demonstrates an interaction scenario where a user works in MR. Overall, our method offers a simple and intuitive way to register MR interfaces.",,Session/Server 1,6
P1032,Yamato Miyashita: Japan Broadcasting Corporation; Masamitsu Harasawa Ph.D.: Japan Broadcasting Corporation; Kazuhiro Hara: Japan Broadcasting Corporation; Yasuhito Sawahata: Japan Broadcasting Corporation; Kazuteru Komine: Japan Broadcasting Corporation,Estimation of Required Horizontal FoV for Ideal HMD Utilizing Vignetting under Practical Range of Eye Displacement,"This study presents the required horizontal FoV for ideal HMDs that bring an indistinguishable experience from the state of not wearing them. We investigated the threshold of the horizontally visible range relative to the head, when the size of the eye displacement is equivalent to that in real life. We confirmed that the required FoV was smaller than that in a previous study, in which the participants' eye displacement was at its maximum. We found that the required FoV was approximately 229° when the peripheral luminance gradually decreased, as in vignetting.",,Session/Server 1,
P1034,Masaki Takeuchi: Osaka University; Daisuke Iwai: Osaka University; Kosuke Sato: Osaka University,Projection Mapping in the Light: A Preliminary Attempt to Substitute Projectors for Room Lights,"Projection mapping (PM) in a bright room creates the problem of reducing the contrast of the projected texture because ambient lighting elevates the black level of the projection target. In this paper, we developed a pseudo-ambient lighting technique that turns off the original ambient lighting and reproduces its illumination from the projectors on surfaces other than the target. We confirmed that the proposed technique could reproduce a bright room while suppressing the contrast reduction of the projected texture on the target, which helped to improve the viewing experience.",,Session/Server 1,
P1035,Yuri Mikawa: The University of Tokyo; Christian Eichhorn: Technical University of Munich; Gudrun Klinker: Technical University of Munich,Multi-color LED Marker for Dynamic Target Tracking in Wide Area,"To present augmented reality in dynamic scenes like sports, a wide tracking range is required as well as accuracy and speed. Conventional tracking markers had a complicated shape, which resulted in being weak against image blur and low image resolution, leading to a narrow tracking range. This paper proposes multi-color LED markers for tracking a dynamic object in a wide area. They can emit consistent light and express a unique ID by a few color pixels, which are efficiently extracted using a camera’s short exposure time. This marker was tested at various distances and fast rotation, where the high identification accuracy was evaluated.",,Session/Server 1,
