id,authors,title,workshop
TrainingXR-1,Lasse Frandsen Lui: Aarhus University; Unnikrishnan Radhakrishnan: Aarhus University; Konstantinos Koumaditis: AU; Francesco Chinello: Aarhus University,Adaptive Immersive VR Training Based on Performance and Self-Efficacy,TrainingXR
TrainingXR-2,Ayesha Williams-Bhatti: Birmingham City University,"SEPSIS COLLAB: A Virtual Reality Training Simulation For Sepsis Treatment ",TrainingXR
TrainingXR-3,Yi (Joy) Li: Kennesaw State University; Pranathi Ayyalaraju Ramalakshmi: Kennesaw State University ; Chao Mei: Meta; Sungchul Jung: Kennesaw State University,Use of Eye Behavior with Visual Distraction for Attention Training in VR,TrainingXR
TrainingXR-4,Moaaz Hudhud Mughrabi: Kadir Has University; Furkan Kaya: Kadir Has University; Anil Ufuk Batmaz: Concordia University; Aliza Aliza: Kadir Has University; Wolfgang Stuerzlinger: Simon Fraser University; Baris Borazan: Kadir Has University; Emir Tonyali: Kadir Has University; Mine Sarac: Kadir Has University,On the Effectiveness of Virtual Eye-Hand Coordination Training with Head Mounted Displays,TrainingXR
TrainingXR-5,Yi (Joy) Li: Kennesaw State University; Amy R Huang: University of Georgia ; Bhavya sri sanku: kennesaw state university; Selena He: Kennesaw State University,Designing an Empathy Training for Depression Prevention Using Virtual Reality and a Preliminary Study,TrainingXR
TrainingXR-6,Christian Schönauer: TU Wien; Maria Roussou: National and Kapodistrian University of Athens; Julien Rüggeberg: Illusion Walk KG; Jim Rüggeberg: Illusion Walk KG; Lucas Katsikaris: Bolt Virtual; Sakis Rogkas: Bolt Virtual; Dimitris Christopoulos: Foundation of the Hellenic World; Hannes Kaufmann: TU Wien,Creating Informal Learning and First Responder Training XR Experiences with the ImmersiveDeck,TrainingXR
TrainingXR-7,Kadir Baturalp Lofca: University of North Carolina at Greensboro; Jason Jerald: NextGen Interactions; Dalton B Costa: UNCG; Regis Kopper: University of North Carolina at Greensboro,Does Adding Physical Realism to Virtual Reality Training Reduce Time Compression?,TrainingXR
ANIVAE-2023-1,"Chunning Guo: Art School, Renmin University of China",Co-building Viewer’s Representation:  Animated Documentary Extended by Virtual Reality from the  Perspective of Anthropology,ANIVAE-2023
ANIVAE-2023-2,Franziska Bruckner: St. Pölten University of Applied Sciences; Julian Salhofer: St. Pölten University of Applied Sciences; Clemens Gürtler: St. Pölten University of Applied Sciences; Max Hattler: City University of Hong Kong; Matthias Husinsky: St. Pölten University of Applied Sciences,Artistic Exploration of Stop-Motion Animation in Virtual Reality: Spatializing the Analog Techniques of 2D Replacement and Object Animation by Using Digital Cutout and Realtime Rendering,ANIVAE-2023
ANIVAE-2023-3,Hannes Rall: Nanyang Technological University; Emma Harper: Nanyang Technological University,Spatial Considerations: Hybridizing Production Modes for an Immersive Adaptation of Shakespeare's The Merchant of Venice,ANIVAE-2023
ANIVAE-2023-4,Andres R Montenegro: Purdue Fort Wayne University,Interactive Spatialized animations in “The Wedding Chamber Project” as a methodology to produce phenomenological diegetic renderings inside an XR immersive environment,ANIVAE-2023
ARES-1,WenKai Hu: Kyoto Institute of Technology; Noriaki Kuwahara: KIT; Panote Siriaraya: Kyoto Institute of Technology,Development of a Game System to Provide Enjoyable Playful Experiences to People in All Stages of Dementia,ARES
ARES-2,Shyam Rangarajan: Technical University of Munich; Christian Eichhorn: Technical University of Munich; David A. Plecher: Technical University; Gudrun Klinker: Technical University of Munich,Bonkers Borders - A Serious AR Game of Boundaries Unfitting and Consequences Unwitting,ARES
ARES-3,Anthony L. Luczak: Mississippi State University; Charles Freeman: Mississippi State University; Carver Middleton: Mississippi State University; Erin Parker: Mississippi State University ; Reuben F Burch V: Mississippi State University; David Saucier: Mississippi State University; John Lamberth: Mississippi State University; Chih Chia Chen: Mississippi State University; Zachary M. M Gillen: Mississippi State University; Adam Knight: Mississippi State University; Harish Chander: Mississippi State University; John E. Ball: Mississippi State University; Kait Jackson: Gears Sports; Michael Neff: Gears Sports; Long Tian: MSU; Yanbing Tang: Mississippi State University; Steven M. Grice: Mississippi State University; Michael Taquino: Mississippi State University; Martin Duclos: Mississippi State University,The Opportunity to Collect Kinetic Forces during a Round of Golf using Wearable Devices: Single-Subject Case Study – The Full Swings.,ARES
ARES-4,vinu kamalasanan: Liebniz University; Melanie Krüger: Institute of Sports Science; Monika Sester: Leibniz University Hannover,Developing a Cyclist 3D GameObject for a Mixed Reality Interaction Framework,ARES
Data4XR-1,Emma Pretty: RMIT; Renan Guarese: Royal Melbourne Institute of Technology; Haytham Fayek: RMIT University; Fabio Zambetta: RMIT University,Replicability and Transparency for the Creation of Public Human User Video Game datasets,Data4XR
